id,loan_status
54027458,0
72594974,0
71061534,0
54474095,0
45704513,0
65261823,0
65686163,0
51887109,0
43906251,0
71026129,0
44017250,0
38507061,0
83335159,1
77430389,1
65180766,0
39569724,0
44796086,0
60196456,0
51927686,1
60055614,1
85652408,0
40542351,0
52229261,0
55970432,1
76794169,0
48222697,0
57206459,0
61353086,0
69698586,1
69584106,0
85562634,1
76305046,0
57354977,0
49955357,0
69096730,0
69246876,0
61862671,1
38361691,1
46735053,0
50033174,0
45222241,1
38649173,0
46356123,0
60912776,1
44836458,0
56001167,0
74132235,0
65067261,0
62377308,1
43699126,0
43420044,0
55400913,0
48816193,1
49026334,0
41012262,0
57216766,1
43509953,0
60739896,0
70621272,0
39078212,0
48726160,1
70570167,0
39330242,0
38586654,0
76021153,1
40353729,1
57265638,0
38638251,0
65914132,1
39997451,1
50323826,0
72705605,1
69196444,0
66502103,1
48464417,0
63967441,0
66432135,1
63304271,0
67899633,1
39927944,0
44976645,1
45464802,1
46784852,1
74141695,1
46641374,0
16493458,1
46918572,1
65605088,1
46661540,1
57217227,0
38528952,0
41910408,0
57025357,0
43195726,0
48080113,1
38525363,0
39977506,0
59161276,1
72643447,1
40806565,0
44419391,0
64937134,1
70912793,0
49953205,0
65108514,0
68996691,0
44026170,0
75203578,0
85671855,0
80600160,0
65794103,0
67457097,0
40520188,1
51636388,0
55533168,0
54248275,0
69346518,1
55160119,0
59313563,0
43905250,0
57114727,0
40942411,1
43225185,1
38291428,1
60707024,1
39612128,0
46713738,1
40580261,0
41081305,0
48595624,0
38438735,0
43286621,0
70862142,0
69981017,1
46295384,1
76264240,1
68610111,0
60065421,1
52077693,1
45744451,0
40307603,0
65373778,1
43996911,1
55180452,0
67458357,1
45222231,1
39349239,0
43935818,0
41430008,0
58250420,1
56954829,0
61842569,0
77500305,0
71727755,1
73530543,0
50446746,0
70670979,1
55360506,1
76022085,0
70670463,1
53844656,0
65794506,0
38261583,0
38418756,1
68387884,0
75175090,1
43510235,0
63355804,1
61401415,0
66600600,0
52636267,0
63454805,0
58513730,0
59091827,0
61732756,0
49523360,0
41121774,0
60055236,0
61553319,1
83675306,0
61348411,1
38454136,0
69473374,1
66546520,1
46817163,0
38558139,0
40382167,0
44036902,0
60236496,0
48526219,0
60970972,1
51828688,0
60526904,0
89934838,0
65251471,0
59241447,0
66511167,0
70642285,0
59190791,0
51126288,0
73754971,0
78429844,1
67205783,1
41129587,0
50638045,0
68476971,0
46175117,0
41021129,1
64160579,1
38282561,1
71935888,0
57004994,0
49925269,0
38428539,0
64842298,0
43306544,0
39741242,0
53262378,0
58662445,0
83736758,1
68761624,0
67409140,1
66503575,0
89954629,1
44005876,0
68527876,0
42333500,0
61752330,1
39712159,1
48606882,0
53774508,0
42463251,1
38439781,1
85570968,1
58451042,0
59152081,1
58470982,0
39947756,0
40268158,1
38211589,0
40372444,1
65771510,0
49423263,1
43459636,0
67398168,0
69463039,1
53794718,1
39629684,0
60850853,1
50466821,0
55455542,0
55078334,0
44795275,1
794229,0
55210320,0
57684132,1
38629347,0
65007979,0
66502788,1
72857582,1
41039669,0
38058515,0
40876608,0
42353541,0
51756354,1
83799749,0
60497313,0
39610744,0
60175643,0
44807569,1
42041327,1
46998422,0
65904132,1
40962198,0
44143184,0
48625784,0
40952991,1
44319389,0
55090708,0
38599238,0
68762731,1
63356318,0
47250976,1
40510621,0
39619246,0
45295332,0
41159592,0
37612137,0
56119361,0
63144610,0
63245675,0
44713418,0
48212863,0
85992589,0
47927456,0
66105459,1
38537898,0
62325169,0
65632834,0
64978022,1
77337868,0
63337684,0
43305997,0
51826160,0
60366713,0
65403584,1
65494919,0
43421080,0
61491141,1
44005598,0
61392370,0
40298354,0
40570248,0
70942701,1
69166808,1
57814283,0
61542268,0
55198649,0
51536964,0
39530180,0
46663502,0
77931130,0
68397523,1
65734847,1
62337595,1
76215754,0
60395134,0
52748677,1
86473508,0
49663405,0
58563869,0
57256384,1
73874766,1
45504423,0
55899883,1
61802217,0
38018179,0
60487610,1
75272941,0
48051786,0
69058515,0
48726271,1
43255784,1
59371292,1
46764505,0
58240484,0
48484673,0
53131469,1
61442437,0
65755874,1
86602945,0
43389734,1
62325990,0
70894727,1
40846234,0
41081772,0
56047475,0
40942016,1
58000170,0
48616151,0
69544784,0
38509311,0
69495967,0
88573527,1
71766108,0
58300988,1
47461317,1
54374112,1
43802223,0
70721805,0
80828223,1
50567345,0
44765715,1
43995264,0
73450819,1
54107336,0
60657442,0
39329337,1
57275378,0
40503946,0
44915910,1
59262338,0
40942082,1
77327827,0
69009699,0
43295722,0
49343126,0
62317252,1
38341920,0
85420910,0
61443533,0
52768723,1
49643405,0
47807547,1
58592273,0
55917477,0
50024447,0
67705148,0
45994156,1
65812577,0
46810405,0
50053628,1
39522278,0
70915457,0
77951677,0
78609316,1
76294002,1
48000198,1
65686669,0
40027641,0
40481460,0
44613817,0
60870189,1
66644983,1
44035719,0
54718461,0
50435391,0
71003379,1
58504191,0
63387528,1
59553462,1
56087412,0
64913348,0
58642776,1
67236812,0
66582286,0
58594002,0
41920358,0
45894382,0
74566270,0
68893258,0
76413477,0
69482257,0
49993526,1
45384249,0
50497165,1
70653043,0
51956981,0
64099206,0
55073064,0
72593840,1
69942681,1
39419807,0
42285123,0
51165342,1
54218774,1
75115413,0
54248406,1
55200156,0
60873179,0
40684789,0
60783472,1
49864711,0
70610981,1
58672353,0
54178487,0
61544213,1
61413371,0
63968369,1
55502021,0
39752202,0
60515759,1
53734594,0
54305338,0
52239509,0
70591852,1
46506869,0
74854646,0
49963946,0
51506587,0
46773738,1
70120754,0
54523325,0
83858137,0
57792807,1
63928907,1
68433830,1
69326389,0
64108417,0
68913569,0
77359529,1
44503798,1
46487560,0
57364565,0
49984675,0
64067963,1
54038029,0
39329387,0
54453768,0
59301663,0
69803459,0
66280317,1
46988621,1
51899174,1
60841815,0
40380484,0
62012911,1
40147932,0
77615320,0
46386625,1
70421541,0
39419880,1
39619112,0
49934513,0
51827493,0
88858552,0
76719203,1
63496127,0
59649508,1
76925690,0
57146319,0
37329237,1
44663535,0
41052046,0
55553324,1
65423884,1
75183825,0
50435608,0
39611342,0
39740153,0
85310954,0
75276057,1
52374207,0
68384913,1
46755257,0
75140098,0
84061466,1
65088460,0
47300124,0
41142521,0
72565189,0
63889217,0
55108373,0
46350583,1
90307629,1
69423559,0
39692670,1
57772826,0
40470600,0
41790556,0
85604797,0
76263218,0
38564457,0
63484375,1
82910419,1
59502279,0
41029492,0
42465631,1
55371208,0
61493125,0
61348817,0
1276637,0
76021386,0
35348309,1
55070318,1
57802411,0
38615501,0
53974555,0
59441226,1
46692388,1
74221851,1
56699927,0
38658619,0
49653807,0
46774529,1
86943647,0
84124810,1
62276893,1
59263081,0
52018345,1
48000302,1
69633473,0
75879438,1
66511416,0
74595264,0
41850358,0
54314362,1
55503451,0
88904313,1
73251988,0
85786081,0
38479486,1
47168168,0
73650465,0
38028527,0
65087949,0
44077372,0
77498997,0
61942292,0
38588523,0
54543746,0
46367759,1
41319220,0
46722148,1
58652432,1
38567662,0
75089163,0
68613182,1
63528125,0
47210287,0
51516758,0
38554702,0
84719658,0
55524556,1
46706455,0
61018863,0
46388135,0
47807507,1
75214253,0
59581627,0
57235885,0
66160719,0
56010054,0
40580934,0
74584209,0
41092184,0
64250442,0
65736947,0
65724447,1
42296927,0
90295394,1
65722999,0
58912786,0
51756968,0
45454736,0
50313301,1
74495492,0
48374706,0
41141348,0
38616118,1
65994679,1
39957782,0
77221295,0
71877310,1
40481385,0
41430226,1
48705930,1
40085539,1
52076419,0
81386282,0
38589227,0
48626078,0
59230450,0
56002950,0
61352607,0
43315542,1
87025568,0
61379707,0
60751808,0
53654153,0
48120716,0
72214471,0
67605279,1
59242083,0
70905752,1
43849210,0
76216790,0
43115740,1
55931323,1
50869693,1
57146365,1
38212022,0
38636898,0
75310194,1
52739005,0
53292497,0
69237214,1
43935634,0
40443883,1
40552612,0
38282519,0
79280478,0
49994301,1
43801850,0
49874492,0
63400415,0
55090101,0
57014640,0
40380886,0
47787155,0
60803308,0
40391190,0
43570325,1
40177795,0
60205206,0
63194400,0
75749305,1
55209517,0
44976340,0
7093747,1
51908740,0
65435022,1
77971870,0
41236944,0
67426798,1
40352343,1
43840699,0
46826886,0
37907179,1
62754681,0
51988904,0
64350672,0
81334292,0
64290707,0
76313445,0
39058176,0
73303095,0
75114139,0
42333213,1
46601101,0
63489023,0
76191195,0
76285586,0
51245876,1
64220381,0
75253839,0
49036136,1
67387683,0
66240827,0
70834734,1
40920445,0
70092538,0
71054853,0
42984260,0
43155555,0
87072356,0
69474881,1
82900176,0
68408700,0
44613404,1
74724654,0
72754670,0
43226048,1
40278162,1
35733583,0
53332585,0
39805982,1
43759497,1
57195897,1
71069186,1
44057069,0
55028854,1
40098106,0
57136076,0
57873904,0
70975586,0
55351255,1
41217578,0
38516904,0
62126739,0
65653599,0
45884150,0
40470171,0
42364426,1
66004680,1
62236589,0
46417907,0
52828461,0
63417437,1
49953296,0
